Breed Name,min_weight,max_weight
Rhodesian Ridgeback,31.751465900000000,38.55535145
Romanian Mioritic Shepherd Dog,45.359237,58.9670081
Rottweiler,36.287389600000000,61.23496995
Russell Terrier,4.082331330000000,6.80388555
Russian Toy,2.9483504050000000,2.9483504050000000
Russian Tsvetnaya Bolonka,2.0411656650000000,4.9895160700000000
Saint Bernard,54.4310844,81.6466266
Saluki,18.143694800000000,29.48350405
Samoyed,15.875732950000000,29.48350405
Schapendoes,11.793401620000000,24.947580350000000
Schipperke,4.535923700000000,7.25747792
Scottish Deerhound,34.01942775,49.895160700000000
Scottish Terrier,8.164662660000000,9.979032140000000
Sealyham Terrier,10.43262451,10.886216880000000
Segugio Italiano,18.143694800000000,27.2155422
Shetland Sheepdog,6.80388555,11.33980925
Shiba Inu,7.71107029,10.43262451
Shih Tzu,4.082331330000000,7.25747792
Shikoku,15.875732950000000,24.947580350000000
Siberian Husky,15.875732950000000,27.2155422
Silky Terrier,4.535923700000000,4.535923700000000
Skye Terrier,15.875732950000000,20.41165665
Sloughi,15.875732950000000,22.6796185
Slovakian Wirehaired Pointer,22.6796185,29.48350405
Slovensky Cuvac,30.84428116,43.99845989
Slovensky Kopov,14.968548210000000,19.958064280000000
Small Munsterlander Pointer,18.143694800000000,27.2155422
Smooth Fox Terrier,6.80388555,8.164662660000000
Soft Coated Wheaten Terrier,13.6077711,18.143694800000000
Spanish Mastiff,63.502931800000000,90.718474
Spanish Water Dog,14.06136347,22.22602613
Spinone Italiano,,
Stabyhoun,18.143694800000000,27.2155422
Staffordshire Bull Terrier,10.886216880000000,17.23651006
Standard Schnauzer,13.6077711,22.6796185
Sussex Spaniel,15.875732950000000,20.41165665
Swedish Lapphund,13.6077711,20.41165665
Swedish Vallhund,9.071847400000000,15.875732950000000
Taiwan Dog,11.793401620000000,18.143694800000000
Teddy Roosevelt Terrier,3.62873896,11.33980925
Thai Ridgeback,15.875732950000000,34.01942775
Tibetan Mastiff,31.751465900000000,68.0388555
Tibetan Spaniel,4.082331330000000,6.80388555
Tibetan Terrier,8.164662660000000,13.6077711
Tornjak,28.12272694,49.895160700000000
Tosa,45.359237,90.718474
Toy Fox Terrier,1.587573295,3.17514659
Transylvanian Hound,24.947580350000000,24.947580350000000
Treeing Tennessee Brindle,13.6077711,22.6796185
Treeing Walker Coonhound,22.6796185,31.751465900000000
Vizsla,19.958064280000000,27.2155422
Weimaraner,24.947580350000000,40.8233133
Welsh Springer Spaniel,15.875732950000000,24.947580350000000
Welsh Terrier,9.071847400000000,9.071847400000000
West Highland White Terrier,6.80388555,9.071847400000000
Wetterhoun,22.6796185,34.01942775
Whippet,11.33980925,18.143694800000000
Wire Fox Terrier,6.80388555,8.164662660000000
Wirehaired Pointing Griffon,15.875732950000000,31.751465900000000
Wirehaired Vizsla,20.41165665,29.48350405
Working Kelpie,12.70058636,27.2155422
Xoloitzcuintli,4.535923700000000,24.947580350000000
Yakutian Laika,18.143694800000000,24.947580350000000
Yorkshire Terrier,3.17514659,3.17514659
